Date,Invoice Number,Sales Rep,Location,Status,Client Name,Client ID,Lead Source,Product ID,Product Name,Unit Price,Quantity,Gross Value,Discount,Revenue,VAT Rate,VAT Charged,Invoice Total,COGS per Unit,COGS,Shipping per Unit,Total Shipping,VAT on Shipping,VAT on Shipping Value,Profit,Profit Margin,Operating Profit,Operating Profit Margin,Margin Difference
07/04/2025,662,Sarah,Nottingham,Shipping,Starlight Industries,C002,Referral,P007,Keyboard Tray,£25.00,7,£175.00,2%,£171.50,20%,£34.30,£205.80,£14.00,£98.00,£7.00,£49.00,20%,£9.80,£73.50,42.90%,£24.50,14.30%,28.60%
07/04/2025,941,Daniel,Nottingham,Shipping,Mars Enterprises,C025,Referral,P009,Ergonomic Chair,£190.00,15,"£2,850.00",2%,"£2,793.00",20%,£558.60,"£3,351.60",£115.00,"£1,725.00",£45.00,£675.00,20%,£135.00,"£1,068.00",38.20%,£393.00,14.10%,24.10%
07/05/2025,127,Lucas,Manchester,Shipping,Sunrise Solutions,C004,Referral,P006,Monitor Stand,£40.00,12,£480.00,5%,£456.00,20%,£91.20,£547.20,£24.00,£288.00,£7.00,£84.00,20%,£16.80,£168.00,36.80%,£84.00,18.40%,18.40%
07/05/2025,148,Sarah,Newcastle,Pending,Venus Ventures,C024,Content Outreach,P005,Software License,£200.00,12,"£2,400.00",2%,"£2,352.00",20%,£470.40,"£2,822.40",£110.00,"£1,320.00", £-   , £-   ,0%, £-   ,"£1,032.00",43.90%,"£1,032.00",43.90%,0.00%
07/05/2025,403,Mark,London,Shipping,Stellar Systems,C006,Social Media Outreach,P007,Keyboard Tray,£25.00,19,£475.00,7%,£441.75,20%,£88.35,£530.10,£14.00,£266.00,£7.00,£133.00,20%,£26.60,£175.75,39.80%,£42.75,9.70%,30.10%
07/05/2025,600,Sarah,London,Pending,Lunar Labs,C012,Website,P008,Cable Management Tray,£20.00,1,£20.00,2%,£19.60,20%,£3.92,£23.52,£12.00,£12.00,£6.00,£6.00,20%,£1.20,£7.60,38.80%,£1.60,8.20%,30.60%
07/06/2025,35,Jack,Nottingham,Paid,Lunar Labs,C012,SEO,P008,Cable Management Tray,£20.00,13,£260.00,10%,£234.00,20%,£46.80,£280.80,£12.00,£156.00,£6.00,£78.00,20%,£15.60,£78.00,33.30%, £-   ,0.00%,33.30%
07/06/2025,289,Jack,Brighton,Paid,Nebula Technologies,C007,Website,P006,Monitor Stand,£40.00,16,£640.00,3%,£620.80,20%,£124.16,£744.96,£24.00,£384.00,£7.00,£112.00,20%,£22.40,£236.80,38.10%,£124.80,20.10%,18.00%
07/06/2025,745,Lucas,London,Shipping,Starlight Industries,C002,SEO,P006,Monitor Stand,£40.00,9,£360.00,2%,£352.80,20%,£70.56,£423.36,£24.00,£216.00,£7.00,£63.00,20%,£12.60,£136.80,38.80%,£73.80,20.90%,17.90%
07/07/2025,908,Lisa,Nottingham,Shipping,Mercury Industries,C023,SEO,P002,Server Key,£150.00,7,"£1,050.00",3%,"£1,018.50",20%,£203.70,"£1,222.20",£80.00,£560.00, £-   , £-   ,0%, £-   ,£458.50,45.00%,£458.50,45.00%,0.00%
07/08/2025,105,Lucas,Bristol,Pending,Infinity Innovations,C009,SEO,P006,Monitor Stand,£40.00,16,£640.00,1%,£633.60,20%,£126.72,£760.32,£24.00,£384.00,£7.00,£112.00,20%,£22.40,£249.60,39.40%,£137.60,21.70%,17.70%
07/08/2025,152,Lucas,Sheffield,Paid,Starlight Industries,C002,Website,P009,Ergonomic Chair,£190.00,16,"£3,040.00",5%,"£2,888.00",20%,£577.60,"£3,465.60",£115.00,"£1,840.00",£45.00,£720.00,20%,£144.00,"£1,048.00",36.30%,£328.00,11.40%,24.90%
07/08/2025,635,Dave,Bristol,Pending,Acme Corporation,C001,Events Outreach,P002,Server Key,£150.00,1,£150.00,7%,£139.50,20%,£27.90,£167.40,£80.00,£80.00, £-   , £-   ,0%, £-   ,£59.50,42.70%,£59.50,42.70%,0.00%
07/09/2025,75,Daniel,Bristol,Paid,Comet Corporation,C016,Referral,P002,Server Key,£150.00,1,£150.00,3%,£145.50,20%,£29.10,£174.60,£80.00,£80.00, £-   , £-   ,0%, £-   ,£65.50,45.00%,£65.50,45.00%,0.00%
07/09/2025,78,Mark,Bristol,Shipping,Orion Enterprises,C015,SEO,P010,Standing Desk,£530.00,12,"£6,360.00",8%,"£5,851.20",20%,"£1,170.24","£7,021.44",£360.00,"£4,320.00",£60.00,£720.00,20%,£144.00,"£1,531.20",26.20%,£811.20,13.90%,12.30%
07/09/2025,387,Daniel,Manchester,Pending,Galactic Enterprises,C003,SEO,P006,Monitor Stand,£40.00,1,£40.00,7%,£37.20,20%,£7.44,£44.64,£24.00,£24.00,£7.00,£7.00,20%,£1.40,£13.20,35.50%,£6.20,16.70%,18.80%
07/10/2025,778,Sarah,Newcastle,Paid,Mercury Industries,C023,SEO,P006,Monitor Stand,£40.00,17,£680.00,5%,£646.00,20%,£129.20,£775.20,£24.00,£408.00,£7.00,£119.00,20%,£23.80,£238.00,36.80%,£119.00,18.40%,18.40%
07/10/2025,980,Dave,Leeds,Pending,Starlight Industries,C002,Referral,P004,Data Storage Device,£70.00,1,£70.00,6%,£65.80,20%,£13.16,£78.96,£30.00,£30.00,£8.00,£8.00,20%,£1.60,£35.80,54.40%,£27.80,42.20%,12.20%
07/11/2025,47,Lisa,Manchester,Paid,Starlight Industries,C002,Referral,P010,Standing Desk,£530.00,20,"£10,600.00",8%,"£9,752.00",20%,"£1,950.40","£11,702.40",£360.00,"£7,200.00",£60.00,"£1,200.00",20%,£240.00,"£2,552.00",26.20%,"£1,352.00",13.90%,12.30%
07/11/2025,401,Lisa,Birmingham,Paid,Mercury Industries,C023,Content Outreach,P006,Monitor Stand,£40.00,8,£320.00,6%,£300.80,20%,£60.16,£360.96,£24.00,£192.00,£7.00,£56.00,20%,£11.20,£108.80,36.20%,£52.80,17.60%,18.60%
07/11/2025,446,Lucas,Nottingham,Pending,Venus Ventures,C024,Referral,P006,Monitor Stand,£40.00,4,£160.00,1%,£158.40,20%,£31.68,£190.08,£24.00,£96.00,£7.00,£28.00,20%,£5.60,£62.40,39.40%,£34.40,21.70%,17.70%
07/11/2025,587,Sarah,London,Pending,Supernova Solutions,C014,Referral,P002,Server Key,£150.00,14,"£2,100.00",6%,"£1,974.00",20%,£394.80,"£2,368.80",£80.00,"£1,120.00", £-   , £-   ,0%, £-   ,£854.00,43.30%,£854.00,43.30%,0.00%
07/12/2025,258,Daniel,Liverpool,Shipping,Interstellar Enterprises,C019,Events Outreach,P010,Standing Desk,£530.00,7,"£3,710.00",3%,"£3,598.70",20%,£719.74,"£4,318.44",£360.00,"£2,520.00",£60.00,£420.00,20%,£84.00,"£1,078.70",30.00%,£658.70,18.30%,11.70%
07/12/2025,460,Dave,Liverpool,Pending,Interstellar Enterprises,C019,SEO,P006,Monitor Stand,£40.00,11,£440.00,4%,£422.40,20%,£84.48,£506.88,£24.00,£264.00,£7.00,£77.00,20%,£15.40,£158.40,37.50%,£81.40,19.30%,18.20%
07/12/2025,641,Sarah,Leeds,Pending,Solar Solutions,C011,SEO,P010,Standing Desk,£530.00,15,"£7,950.00",5%,"£7,552.50",20%,"£1,510.50","£9,063.00",£360.00,"£5,400.00",£60.00,£900.00,20%,£180.00,"£2,152.50",28.50%,"£1,252.50",16.60%,11.90%
08/01/2025,256,Daniel,Sheffield,Pending,Saturn Solutions,C022,SEO,P006,Monitor Stand,£40.00,3,£120.00,5%,£114.00,20%,£22.80,£136.80,£24.00,£72.00,£7.00,£21.00,20%,£4.20,£42.00,36.80%,£21.00,18.40%,18.40%
08/01/2025,456,Sarah,Nottingham,Pending,Mars Enterprises,C025,Events Outreach,P008,Cable Management Tray,£20.00,4,£80.00,4%,£76.80,20%,£15.36,£92.16,£12.00,£48.00,£6.00,£24.00,20%,£4.80,£28.80,37.50%,£4.80,6.30%,31.20%
08/01/2025,479,Sarah,Sheffield,Pending,Mercury Industries,C023,SEO,P002,Server Key,£150.00,6,£900.00,5%,£855.00,20%,£171.00,"£1,026.00",£80.00,£480.00, £-   , £-   ,0%, £-   ,£375.00,43.90%,£375.00,43.90%,0.00%
08/02/2025,8,Alexandra,Manchester,Pending,Orion Enterprises,C015,Content Outreach,P005,Software License,£200.00,15,"£3,000.00",5%,"£2,850.00",20%,£570.00,"£3,420.00",£110.00,"£1,650.00", £-   , £-   ,0%, £-   ,"£1,200.00",42.10%,"£1,200.00",42.10%,0.00%
08/02/2025,50,Dave,Newcastle,Paid,Supernova Solutions,C014,Referral,P009,Ergonomic Chair,£190.00,7,"£1,330.00",6%,"£1,250.20",20%,£250.04,"£1,500.24",£115.00,£805.00,£45.00,£315.00,20%,£63.00,£445.20,35.60%,£130.20,10.40%,25.20%
08/02/2025,369,Dave,Sheffield,Shipping,Lunar Labs,C012,Referral,P006,Monitor Stand,£40.00,3,£120.00,5%,£114.00,20%,£22.80,£136.80,£24.00,£72.00,£7.00,£21.00,20%,£4.20,£42.00,36.80%,£21.00,18.40%,18.40%
08/03/2025,750,Jack,London,Shipping,Solar Solutions,C011,SEO,P006,Monitor Stand,£40.00,8,£320.00,8%,£294.40,20%,£58.88,£353.28,£24.00,£192.00,£7.00,£56.00,20%,£11.20,£102.40,34.80%,£46.40,15.80%,19.00%
08/04/2025,663,Lisa,London,Pending,Saturn Solutions,C022,Social Media Outreach,P008,Cable Management Tray,£20.00,5,£100.00,1%,£99.00,20%,£19.80,£118.80,£12.00,£60.00,£6.00,£30.00,20%,£6.00,£39.00,39.40%,£9.00,9.10%,30.30%
08/05/2025,390,Dave,Brighton,Pending,Saturn Solutions,C022,Content Outreach,P005,Software License,£200.00,17,"£3,400.00",8%,"£3,128.00",20%,£625.60,"£3,753.60",£110.00,"£1,870.00", £-   , £-   ,0%, £-   ,"£1,258.00",40.20%,"£1,258.00",40.20%,0.00%
08/05/2025,809,Jack,Liverpool,Paid,Moonbeam Innovations,C005,Referral,P007,Keyboard Tray,£25.00,17,£425.00,5%,£403.75,20%,£80.75,£484.50,£14.00,£238.00,£7.00,£119.00,20%,£23.80,£165.75,41.10%,£46.75,11.60%,29.50%
08/05/2025,943,Sarah,Brighton,Paid,Stellar Systems,C006,SEO,P004,Data Storage Device,£70.00,6,£420.00,3%,£407.40,20%,£81.48,£488.88,£30.00,£180.00,£8.00,£48.00,20%,£9.60,£227.40,55.80%,£179.40,44.00%,11.80%
08/06/2025,83,Dave,Newcastle,Paid,Nova Innovations,C018,Content Outreach,P005,Software License,£200.00,5,"£1,000.00",5%,£950.00,20%,£190.00,"£1,140.00",£110.00,£550.00, £-   , £-   ,0%, £-   ,£400.00,42.10%,£400.00,42.10%,0.00%
08/06/2025,293,Alexandra,Brighton,Paid,Stellar Systems,C006,Website,P005,Software License,£200.00,12,"£2,400.00",5%,"£2,280.00",20%,£456.00,"£2,736.00",£110.00,"£1,320.00", £-   , £-   ,0%, £-   ,£960.00,42.10%,£960.00,42.10%,0.00%
08/06/2025,344,Dave,Brighton,Shipping,Venus Ventures,C024,SEO,P002,Server Key,£150.00,18,"£2,700.00",5%,"£2,565.00",20%,£513.00,"£3,078.00",£80.00,"£1,440.00", £-   , £-   ,0%, £-   ,"£1,125.00",43.90%,"£1,125.00",43.90%,0.00%
08/07/2025,673,Mark,Sheffield,Pending,Stellar Systems,C006,Referral,P009,Ergonomic Chair,£190.00,6,"£1,140.00",4%,"£1,094.40",20%,£218.88,"£1,313.28",£115.00,£690.00,£45.00,£270.00,20%,£54.00,£404.40,37.00%,£134.40,12.30%,24.70%
08/08/2025,189,Jack,London,Shipping,Mars Enterprises,C025,Events Outreach,P010,Standing Desk,£530.00,2,"£1,060.00",5%,"£1,007.00",20%,£201.40,"£1,208.40",£360.00,£720.00,£60.00,£120.00,20%,£24.00,£287.00,28.50%,£167.00,16.60%,11.90%
08/08/2025,511,Lisa,Bristol,Shipping,Lunar Labs,C012,SEO,P004,Data Storage Device,£70.00,15,"£1,050.00",7%,£976.50,20%,£195.30,"£1,171.80",£30.00,£450.00,£8.00,£120.00,20%,£24.00,£526.50,53.90%,£406.50,41.60%,12.30%
08/09/2025,966,Jack,Brighton,Pending,Moonbeam Innovations,C005,Referral,P007,Keyboard Tray,£25.00,8,£200.00,12%,£176.00,20%,£35.20,£211.20,£14.00,£112.00,£7.00,£56.00,20%,£11.20,£64.00,36.40%,£8.00,4.50%,31.90%
08/10/2025,892,Dave,Nottingham,Pending,Interstellar Enterprises,C019,Social Media Outreach,P008,Cable Management Tray,£20.00,13,£260.00,2%,£254.80,20%,£50.96,£305.76,£12.00,£156.00,£6.00,£78.00,20%,£15.60,£98.80,38.80%,£20.80,8.20%,30.60%
08/11/2025,239,Daniel,Sheffield,Paid,Comet Corporation,C016,Social Media Outreach,P010,Standing Desk,£530.00,9,"£4,770.00",4%,"£4,579.20",20%,£915.84,"£5,495.04",£360.00,"£3,240.00",£60.00,£540.00,20%,£108.00,"£1,339.20",29.20%,£799.20,17.50%,11.70%
08/11/2025,311,Lisa,Brighton,Paid,Nebula Technologies,C007,Content Outreach,P004,Data Storage Device,£70.00,15,"£1,050.00",2%,"£1,029.00",20%,£205.80,"£1,234.80",£30.00,£450.00,£8.00,£120.00,20%,£24.00,£579.00,56.30%,£459.00,44.60%,11.70%
08/11/2025,414,Lisa,Birmingham,Paid,Mercury Industries,C023,Social Media Outreach,P009,Ergonomic Chair,£190.00,20,"£3,800.00",2%,"£3,724.00",20%,£744.80,"£4,468.80",£115.00,"£2,300.00",£45.00,£900.00,20%,£180.00,"£1,424.00",38.20%,£524.00,14.10%,24.10%
08/11/2025,430,Dave,Birmingham,Shipping,Celestial Industries,C013,Content Outreach,P006,Monitor Stand,£40.00,6,£240.00,3%,£232.80,20%,£46.56,£279.36,£24.00,£144.00,£7.00,£42.00,20%,£8.40,£88.80,38.10%,£46.80,20.10%,18.00%
08/11/2025,627,Lisa,London,Paid,Venus Ventures,C024,Events Outreach,P007,Keyboard Tray,£25.00,17,£425.00,10%,£382.50,20%,£76.50,£459.00,£14.00,£238.00,£7.00,£119.00,20%,£23.80,£144.50,37.80%,£25.50,6.70%,31.10%
08/11/2025,846,Mark,Liverpool,Paid,Moonbeam Innovations,C005,SEO,P004,Data Storage Device,£70.00,7,£490.00,3%,£475.30,20%,£95.06,£570.36,£30.00,£210.00,£8.00,£56.00,20%,£11.20,£265.30,55.80%,£209.30,44.00%,11.80%
08/12/2025,208,Mark,Nottingham,Paid,Mercury Industries,C023,SEO,P008,Cable Management Tray,£20.00,8,£160.00,4%,£153.60,20%,£30.72,£184.32,£12.00,£96.00,£6.00,£48.00,20%,£9.60,£57.60,37.50%,£9.60,6.30%,31.20%
08/12/2025,528,Lucas,Birmingham,Shipping,Moonbeam Innovations,C005,Content Outreach,P007,Keyboard Tray,£25.00,8,£200.00,2%,£196.00,20%,£39.20,£235.20,£14.00,£112.00,£7.00,£56.00,20%,£11.20,£84.00,42.90%,£28.00,14.30%,28.60%
09/01/2025,216,Lisa,Bristol,Shipping,Saturn Solutions,C022,Social Media Outreach,P004,Data Storage Device,£70.00,14,£980.00,6%,£921.20,20%,£184.24,"£1,105.44",£30.00,£420.00,£8.00,£112.00,20%,£22.40,£501.20,54.40%,£389.20,42.20%,12.20%
09/02/2025,480,Lisa,Newcastle,Paid,Comet Corporation,C016,SEO,P006,Monitor Stand,£40.00,4,£160.00,7%,£148.80,20%,£29.76,£178.56,£24.00,£96.00,£7.00,£28.00,20%,£5.60,£52.80,35.50%,£24.80,16.70%,18.80%
09/02/2025,492,Lucas,Newcastle,Paid,Venus Ventures,C024,SEO,P006,Monitor Stand,£40.00,16,£640.00,3%,£620.80,20%,£124.16,£744.96,£24.00,£384.00,£7.00,£112.00,20%,£22.40,£236.80,38.10%,£124.80,20.10%,18.00%
09/02/2025,603,Dave,Bristol,Paid,Sunrise Solutions,C004,Content Outreach,P001,Laptop,£220.00,5,"£1,100.00",5%,"£1,045.00",20%,£209.00,"£1,254.00",£140.00,£700.00,£15.00,£75.00,20%,£15.00,£345.00,33.00%,£270.00,25.80%,7.20%
09/02/2025,819,Alexandra,Newcastle,Pending,Solar Solutions,C011,Website,P009,Ergonomic Chair,£190.00,4,£760.00,3%,£737.20,20%,£147.44,£884.64,£115.00,£460.00,£45.00,£180.00,20%,£36.00,£277.20,37.60%,£97.20,13.20%,24.40%
09/03/2025,73,Lisa,Leeds,Paid,AstroTech,C017,Content Outreach,P010,Standing Desk,£530.00,4,"£2,120.00",2%,"£2,077.60",20%,£415.52,"£2,493.12",£360.00,"£1,440.00",£60.00,£240.00,20%,£48.00,£637.60,30.70%,£397.60,19.10%,11.60%
09/03/2025,102,Sarah,Sheffield,Pending,Orion Enterprises,C015,Social Media Outreach,P001,Laptop,£220.00,7,"£1,540.00",3%,"£1,493.80",20%,£298.76,"£1,792.56",£140.00,£980.00,£15.00,£105.00,20%,£21.00,£513.80,34.40%,£408.80,27.40%,7.00%
09/03/2025,116,Dave,Bristol,Paid,Comet Corporation,C016,Referral,P004,Data Storage Device,£70.00,3,£210.00,9%,£191.10,20%,£38.22,£229.32,£30.00,£90.00,£8.00,£24.00,20%,£4.80,£101.10,52.90%,£77.10,40.30%,12.60%
09/03/2025,130,Jack,Birmingham,Paid,Solar Solutions,C011,SEO,P006,Monitor Stand,£40.00,8,£320.00,8%,£294.40,20%,£58.88,£353.28,£24.00,£192.00,£7.00,£56.00,20%,£11.20,£102.40,34.80%,£46.40,15.80%,19.00%
09/03/2025,601,Alexandra,Manchester,Pending,Comet Corporation,C016,Referral,P006,Monitor Stand,£40.00,3,£120.00,1%,£118.80,20%,£23.76,£142.56,£24.00,£72.00,£7.00,£21.00,20%,£4.20,£46.80,39.40%,£25.80,21.70%,17.70%
09/03/2025,669,Dave,Nottingham,Shipping,Lunar Labs,C012,Content Outreach,P008,Cable Management Tray,£20.00,12,£240.00,8%,£220.80,20%,£44.16,£264.96,£12.00,£144.00,£6.00,£72.00,20%,£14.40,£76.80,34.80%,£4.80,2.20%,32.60%
09/03/2025,820,Lucas,Birmingham,Shipping,Nebula Technologies,C007,SEO,P001,Laptop,£220.00,2,£440.00,5%,£418.00,20%,£83.60,£501.60,£140.00,£280.00,£15.00,£30.00,20%,£6.00,£138.00,33.00%,£108.00,25.80%,7.20%
09/04/2025,124,Alexandra,Newcastle,Pending,Lunar Labs,C012,Content Outreach,P009,Ergonomic Chair,£190.00,15,"£2,850.00",7%,"£2,650.50",20%,£530.10,"£3,180.60",£115.00,"£1,725.00",£45.00,£675.00,20%,£135.00,£925.50,34.90%,£250.50,9.50%,25.40%
09/04/2025,134,Jack,Manchester,Pending,Nebula Technologies,C007,Referral,P009,Ergonomic Chair,£190.00,4,£760.00,3%,£737.20,20%,£147.44,£884.64,£115.00,£460.00,£45.00,£180.00,20%,£36.00,£277.20,37.60%,£97.20,13.20%,24.40%
09/04/2025,162,Alexandra,Birmingham,Paid,Planetary Partners,C021,Website,P001,Laptop,£220.00,20,"£4,400.00",10%,"£3,960.00",20%,£792.00,"£4,752.00",£140.00,"£2,800.00",£15.00,£300.00,20%,£60.00,"£1,160.00",29.30%,£860.00,21.70%,7.60%
09/04/2025,570,Sarah,Sheffield,Pending,Aurora Enterprises,C010,SEO,P006,Monitor Stand,£40.00,11,£440.00,1%,£435.60,20%,£87.12,£522.72,£24.00,£264.00,£7.00,£77.00,20%,£15.40,£171.60,39.40%,£94.60,21.70%,17.70%
09/04/2025,974,Mark,Nottingham,Paid,Solar Solutions,C011,Events Outreach,P008,Cable Management Tray,£20.00,13,£260.00,3%,£252.20,20%,£50.44,£302.64,£12.00,£156.00,£6.00,£78.00,20%,£15.60,£96.20,38.10%,£18.20,7.20%,30.90%
09/05/2025,300,Daniel,Bristol,Shipping,Sunrise Solutions,C004,Social Media Outreach,P007,Keyboard Tray,£25.00,17,£425.00,5%,£403.75,20%,£80.75,£484.50,£14.00,£238.00,£7.00,£119.00,20%,£23.80,£165.75,41.10%,£46.75,11.60%,29.50%
09/05/2025,702,Daniel,Leeds,Pending,Cosmos Creations,C020,Website,P006,Monitor Stand,£40.00,2,£80.00,5%,£76.00,20%,£15.20,£91.20,£24.00,£48.00,£7.00,£14.00,20%,£2.80,£28.00,36.80%,£14.00,18.40%,18.40%
09/06/2025,110,Sarah,Sheffield,Pending,Stellar Systems,C006,Website,P006,Monitor Stand,£40.00,10,£400.00,7%,£372.00,20%,£74.40,£446.40,£24.00,£240.00,£7.00,£70.00,20%,£14.00,£132.00,35.50%,£62.00,16.70%,18.80%
09/06/2025,454,Mark,Nottingham,Paid,Lunar Labs,C012,SEO,P006,Monitor Stand,£40.00,15,£600.00,5%,£570.00,20%,£114.00,£684.00,£24.00,£360.00,£7.00,£105.00,20%,£21.00,£210.00,36.80%,£105.00,18.40%,18.40%
09/06/2025,518,Mark,Birmingham,Pending,Cosmic Creations,C008,Content Outreach,P009,Ergonomic Chair,£190.00,18,"£3,420.00",4%,"£3,283.20",20%,£656.64,"£3,939.84",£115.00,"£2,070.00",£45.00,£810.00,20%,£162.00,"£1,213.20",37.00%,£403.20,12.30%,24.70%
09/06/2025,624,Alexandra,Liverpool,Paid,Nova Innovations,C018,Referral,P001,Laptop,£220.00,4,£880.00,10%,£792.00,20%,£158.40,£950.40,£140.00,£560.00,£15.00,£60.00,20%,£12.00,£232.00,29.30%,£172.00,21.70%,7.60%
09/06/2025,853,Jack,Sheffield,Paid,Cosmos Creations,C020,Website,P006,Monitor Stand,£40.00,11,£440.00,8%,£404.80,20%,£80.96,£485.76,£24.00,£264.00,£7.00,£77.00,20%,£15.40,£140.80,34.80%,£63.80,15.80%,19.00%
09/07/2025,384,Lisa,Manchester,Pending,Celestial Industries,C013,Events Outreach,P005,Software License,£200.00,4,£800.00,1%,£792.00,20%,£158.40,£950.40,£110.00,£440.00, £-   , £-   ,0%, £-   ,£352.00,44.40%,£352.00,44.40%,0.00%
09/07/2025,504,Alexandra,Birmingham,Pending,Nebula Technologies,C007,Events Outreach,P008,Cable Management Tray,£20.00,12,£240.00,5%,£228.00,20%,£45.60,£273.60,£12.00,£144.00,£6.00,£72.00,20%,£14.40,£84.00,36.80%,£12.00,5.30%,31.50%
09/07/2025,632,Sarah,Liverpool,Pending,Mars Enterprises,C025,SEO,P008,Cable Management Tray,£20.00,3,£60.00,1%,£59.40,20%,£11.88,£71.28,£12.00,£36.00,£6.00,£18.00,20%,£3.60,£23.40,39.40%,£5.40,9.10%,30.30%
09/07/2025,868,Dave,Bristol,Pending,AstroTech,C017,SEO,P004,Data Storage Device,£70.00,12,£840.00,7%,£781.20,20%,£156.24,£937.44,£30.00,£360.00,£8.00,£96.00,20%,£19.20,£421.20,53.90%,£325.20,41.60%,12.30%
09/08/2025,530,Dave,Brighton,Shipping,Sunrise Solutions,C004,SEO,P002,Server Key,£150.00,16,"£2,400.00",5%,"£2,280.00",20%,£456.00,"£2,736.00",£80.00,"£1,280.00", £-   , £-   ,0%, £-   ,"£1,000.00",43.90%,"£1,000.00",43.90%,0.00%
09/09/2025,115,Mark,Birmingham,Shipping,Orion Enterprises,C015,Referral,P007,Keyboard Tray,£25.00,14,£350.00,4%,£336.00,20%,£67.20,£403.20,£14.00,£196.00,£7.00,£98.00,20%,£19.60,£140.00,41.70%,£42.00,12.50%,29.20%
09/09/2025,371,Mark,Birmingham,Pending,Celestial Industries,C013,Referral,P003,Network Switch,£130.00,4,£520.00,6%,£488.80,20%,£97.76,£586.56,£72.00,£288.00,£8.00,£32.00,20%,£6.40,£200.80,41.10%,£168.80,34.50%,6.60%
09/09/2025,618,Sarah,Birmingham,Pending,AstroTech,C017,Content Outreach,P004,Data Storage Device,£70.00,8,£560.00,6%,£526.40,20%,£105.28,£631.68,£30.00,£240.00,£8.00,£64.00,20%,£12.80,£286.40,54.40%,£222.40,42.20%,12.20%
09/09/2025,665,Sarah,Manchester,Shipping,Sunrise Solutions,C004,Content Outreach,P008,Cable Management Tray,£20.00,18,£360.00,5%,£342.00,20%,£68.40,£410.40,£12.00,£216.00,£6.00,£108.00,20%,£21.60,£126.00,36.80%,£18.00,5.30%,31.50%
09/10/2025,43,Lucas,Brighton,Pending,Celestial Industries,C013,Referral,P001,Laptop,£220.00,17,"£3,740.00",1%,"£3,702.60",20%,£740.52,"£4,443.12",£140.00,"£2,380.00",£15.00,£255.00,20%,£51.00,"£1,322.60",35.70%,"£1,067.60",28.80%,6.90%
09/10/2025,65,Lucas,Nottingham,Pending,Lunar Labs,C012,Events Outreach,P008,Cable Management Tray,£20.00,16,£320.00,5%,£304.00,20%,£60.80,£364.80,£12.00,£192.00,£6.00,£96.00,20%,£19.20,£112.00,36.80%,£16.00,5.30%,31.50%
09/10/2025,486,Alexandra,Sheffield,Shipping,Galactic Enterprises,C003,Referral,P007,Keyboard Tray,£25.00,11,£275.00,5%,£261.25,20%,£52.25,£313.50,£14.00,£154.00,£7.00,£77.00,20%,£15.40,£107.25,41.10%,£30.25,11.60%,29.50%
09/10/2025,882,Lucas,Manchester,Paid,Saturn Solutions,C022,Referral,P006,Monitor Stand,£40.00,1,£40.00,5%,£38.00,20%,£7.60,£45.60,£24.00,£24.00,£7.00,£7.00,20%,£1.40,£14.00,36.80%,£7.00,18.40%,18.40%
09/11/2025,232,Mark,Leeds,Shipping,Infinity Innovations,C009,Events Outreach,P006,Monitor Stand,£40.00,1,£40.00,7%,£37.20,20%,£7.44,£44.64,£24.00,£24.00,£7.00,£7.00,20%,£1.40,£13.20,35.50%,£6.20,16.70%,18.80%
09/12/2025,457,Sarah,London,Paid,Saturn Solutions,C022,Referral,P008,Cable Management Tray,£20.00,9,£180.00,9%,£163.80,20%,£32.76,£196.56,£12.00,£108.00,£6.00,£54.00,20%,£10.80,£55.80,34.10%,£1.80,1.10%,33.00%
10/01/2025,320,Alexandra,Brighton,Paid,Infinity Innovations,C009,Referral,P009,Ergonomic Chair,£190.00,19,"£3,610.00",3%,"£3,501.70",20%,£700.34,"£4,202.04",£115.00,"£2,185.00",£45.00,£855.00,20%,£171.00,"£1,316.70",37.60%,£461.70,13.20%,24.40%
10/01/2025,739,Lucas,Brighton,Paid,Stellar Systems,C006,Website,P002,Server Key,£150.00,3,£450.00,4%,£432.00,20%,£86.40,£518.40,£80.00,£240.00, £-   , £-   ,0%, £-   ,£192.00,44.40%,£192.00,44.40%,0.00%
10/01/2025,932,Sarah,Newcastle,Shipping,Mercury Industries,C023,Website,P002,Server Key,£150.00,1,£150.00,3%,£145.50,20%,£29.10,£174.60,£80.00,£80.00, £-   , £-   ,0%, £-   ,£65.50,45.00%,£65.50,45.00%,0.00%
10/02/2025,2,Jack,Birmingham,Pending,Starlight Industries,C002,Events Outreach,P004,Data Storage Device,£70.00,2,£140.00,3%,£135.80,20%,£27.16,£162.96,£30.00,£60.00,£8.00,£16.00,20%,£3.20,£75.80,55.80%,£59.80,44.00%,11.80%
10/02/2025,605,Mark,Newcastle,Pending,Celestial Industries,C013,Content Outreach,P010,Standing Desk,£530.00,4,"£2,120.00",8%,"£1,950.40",20%,£390.08,"£2,340.48",£360.00,"£1,440.00",£60.00,£240.00,20%,£48.00,£510.40,26.20%,£270.40,13.90%,12.30%
10/02/2025,629,Jack,Birmingham,Shipping,Venus Ventures,C024,Social Media Outreach,P007,Keyboard Tray,£25.00,2,£50.00,3%,£48.50,20%,£9.70,£58.20,£14.00,£28.00,£7.00,£14.00,20%,£2.80,£20.50,42.30%,£6.50,13.40%,28.90%
10/02/2025,701,Jack,Nottingham,Pending,Planetary Partners,C021,Content Outreach,P006,Monitor Stand,£40.00,20,£800.00,6%,£752.00,20%,£150.40,£902.40,£24.00,£480.00,£7.00,£140.00,20%,£28.00,£272.00,36.20%,£132.00,17.60%,18.60%
